Site,plot_id,soil_texture,soil_ph,pine,spruce,pine_percentage,spruce_percentage,abundance,stand_density,polytrichum_remmuone,sphagnum_palustre,plagiothecium_undulatum,rhytidiadelphus_loreus,hypnum_sp,pleurozium_schreberi,breutelia_chrysocoma,rhytidiadelphus_triquetrus,thuidium_tamariscinum,cephaloziella_bicuspidata,Moss 12,Moss 13,Moss 14,Liverwort 1,Lophocolea bidentata,Vaccinium vitis idea,Vaccinium myrtillis,Calluna vulgaris,Deschampsia flexuosa,Molinia caerulea,Blechnum spicant,Goodyera Repens (Orchid 1),Abundance,inv_simpson,shannon,exp_shannon,LAI,canopy_open,lat,long
1,1,Silty Clay Loam,3.14,6,23,20.68965517,79.31034483,,0.29,25,23,20,17,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,107,4.920068758,1.601142209,4.958693057,3.7306,0.0634,57.17659,3.70370
1,2,Silty Clay,2.93,14,13,51.85185185,48.14814815,,0.27,0,2,0,23,25,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,78,3.8025,1.411914997,4.10380666,2.468,0.2712,57.17625,3.70391
1,3,Silty Clay,3.18,12,11,52.17391304,47.82608696,,0.23,0,2,5,9,25,10,1,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,71,4.578564941,1.722348777,5.597660693,2.6554,0.1632,57.17607,3.70413
1,4,Silty Clay,2.98,10,18,35.71428571,64.28571429,,0.28,3,0,24,4,25,25,11,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,102,5.065238559,1.760169218,5.813421049,3.4597,0.2566,57.17584,3.70410
1,5,Silty Clay,3.26,6,13,31.57894737,68.42105263,,0.19,0,0,25,0,0,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.86440678,1.073394281,2.925291931,4.3454,0.0287,57.17560,3.70407
2,6,Silty Clay,2.99,24,4,85.71428571,14.28571429,,0.28,0,4,0,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2.177777778,0.895731173,2.449125869,2.5785,0.2464,57.17437,3.69806
2,7,Silty Clay,2.95,25,5,83.33333333,16.66666667,,0.3,19,2,25,11,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3.873271889,1.423167123,4.15024398,2.4589,0.2444,57.17463,3.69830
2,8,Clay,2.83,26,6,81.25,18.75,,0.32,0,5,6,17,0,25,4,0,0,0,0,0,0,0,25,0,0,0,0,5,0,0,87,4.612431444,1.690062929,5.41982176,2.4771,0.2432,57.17483,3.69861
2,9,Clay,2.95,20,11,64.51612903,35.48387097,,0.31,0,0,18,11,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2.919925512,1.16353509,3.201229934,2.8044,0.1372,57.17485,3.69901
2,10,Clay,2.9,29,5,85.29411765,14.70588235,,0.34,0,0,25,13,0,25,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,77,3.67120743,1.340754311,3.82192534,2.6306,0.2106,57.17500,3.69956
